date_utc,block_time_utc,height_guess,used_height,pool_len,uluna,uusd,lunc,ustc,lcd_used,error
2022-05-01T00:00:00Z,,7363571,7363571,31,10123660573164.438648246848646592,1052695195405789.265304367002004044,10123660.573164439,1052695195.4057893,https://terra-classic-lcd.publicnode.com,
2022-05-08T00:00:00Z,,7464371,7464371,31,10123660599820.690241488804862070,1050683195432743.582968262202936969,10123660.59982069,1050683195.4327437,https://terra-classic-lcd.publicnode.com,
2022-05-15T00:00:00Z,,7565171,7565171,31,10123660628722.782425404325989464,1017233195462122.139319585840701892,10123660.628722783,1017233195.4621221,https://terra-classic-lcd.publicnode.com,
2022-05-22T00:00:00Z,,7665971,7665971,31,10123660703353.505492918771965214,1006733195537066.763464477916441625,10123660.703353506,1006733195.5370667,https://terra-classic-lcd.publicnode.com,
2022-05-29T00:00:00Z,,7766771,7766771,31,10123660733135.784635419862603123,1006733195566976.612374845216036359,10123660.733135786,1006733195.5669767,https://terra-classic-lcd.publicnode.com,
2022-06-05T00:00:00Z,,7867571,7867571,31,10123660759475.003356424298916922,1593208.852285811724161840,10123660.759475004,1.5932088522858117,https://terra-classic-lcd.publicnode.com,
2022-06-12T00:00:00Z,,7968371,7968371,31,10123660767538.394896544875135014,1601218.037745659285433522,10123660.767538395,1.6012180377456593,https://terra-classic-lcd.publicnode.com,
2022-06-19T00:00:00Z,,8069171,8069171,31,10123660772940.314774379010242923,1606679.064714423798907381,10123660.772940315,1.6066790647144238,https://terra-classic-lcd.publicnode.com,
2022-06-26T00:00:00Z,,8169971,8169971,31,10409291096412.591379557349783420,15069023781.638760864687740147,10409291.096412592,15069.023781638762,https://terra-classic-lcd.publicnode.com,
2022-07-03T00:00:00Z,,8270771,8270771,31,10854998063703.270302663957822428,38320253973.101916877150077279,10854998.063703269,38320.25397310191,https://terra-classic-lcd.publicnode.com,
2022-07-10T00:00:00Z,,8371571,8371571,31,11369323941530.499217127172642393,64104167692.457836475569944712,11369323.9415305,64104.16769245784,https://terra-classic-lcd.publicnode.com,
2022-07-17T00:00:00Z,,8472371,8472371,31,11666604406051.148020197503437023,77952670895.407336135374370437,11666604.406051148,77952.67089540734,https://terra-classic-lcd.publicnode.com,
2022-07-24T00:00:00Z,,8573171,8573171,31,11948853197121.427896166194520442,94437984911.232639405446464861,11948853.197121428,94437.98491123263,https://terra-classic-lcd.publicnode.com,
2022-07-31T00:00:00Z,,8673971,8673971,31,12137057250710.881352973274024585,118533499148.006804602902544733,12137057.25071088,118533.4991480068,https://terra-classic-lcd.publicnode.com,
